position,angleRF,angleLF,angleLB,angleRB,bodyPoseX,bodyPoseY,bodyPoseZ
pos1,-4.594,5.01,4.841,4.694,0,0,0
pos2,-73.85,54.305,-64.436,55.731,0,0,0
