angleRF_init,angleLF_init,angleLB_init,angleRB_init,
4.743,-4.98,-4.434,-4.542
angleRF_curr,angleLF_curr,angleLB_curr,angleRB_curr,
118.981,-100.122,-99.464,-86.666
